"csv.CVD.DE$time_iso8601","DE.daily.cases"
"2020-03-02",209
"2020-03-03",85
"2020-03-04",154
"2020-03-05",184
"2020-03-06",186
"2020-03-07",141
"2020-03-08",102
"2020-03-09",347
"2020-03-10",602
"2020-03-11",757
"2020-03-12",990
"2020-03-13",1452
"2020-03-14",1307
"2020-03-15",978
"2020-03-16",2049
"2020-03-17",3045
"2020-03-18",3609
"2020-03-19",4057
"2020-03-20",4048
"2020-03-21",3355
"2020-03-22",2267
"2020-03-23",3730
"2020-03-24",4884
"2020-03-25",5688
"2020-03-26",5913
"2020-03-27",5993
"2020-03-28",4731
"2020-03-29",3086
"2020-03-30",4127
"2020-03-31",6064
"2020-04-01",6264
"2020-04-02",6553
"2020-04-03",6192
"2020-04-04",4339
"2020-04-05",2553
"2020-04-06",3675
"2020-04-07",5196
"2020-04-08",5280
"2020-04-09",4917
"2020-04-10",3354
"2020-04-11",2896
"2020-04-12",1866
"2020-04-13",1596
"2020-04-14",2469
"2020-04-15",3327
"2020-04-16",3421
"2020-04-17",3051
"2020-04-18",2110
"2020-04-19",1380
"2020-04-20",1727
"2020-04-21",2189
"2020-04-22",2496
"2020-04-23",2085
"2020-04-24",1907
"2020-04-25",1274
"2020-04-26",706
"2020-04-27",1117
"2020-04-28",1461
"2020-04-29",1436
"2020-04-30",1461
"2020-05-01",918
"2020-05-02",690
"2020-05-03",427
"2020-05-04",729
"2020-05-05",1092
"2020-05-06",1220
"2020-05-07",1198
"2020-05-08",981
"2020-05-09",679
"2020-05-10",341
"2020-05-11",688
"2020-05-12",855
"2020-05-13",911
"2020-05-14",806
"2020-05-15",718
"2020-05-16",462
"2020-05-17",316
"2020-05-18",547
"2020-05-19",730
"2020-05-20",833
"2020-05-21",418
"2020-05-22",529
"2020-05-23",338
"2020-05-24",225
"2020-05-25",414
"2020-05-26",617
"2020-05-27",647
"2020-05-28",528
"2020-05-29",449
"2020-05-30",374
"2020-05-31",179
"2020-06-01",137
"2020-06-02",305
"2020-06-03",499
"2020-06-04",529
"2020-06-05",438
"2020-06-06",285
"2020-06-07",167
"2020-06-08",299
"2020-06-09",428
"2020-06-10",516
"2020-06-11",278
"2020-06-12",350
"2020-06-13",299
"2020-06-14",172
"2020-06-15",260
"2020-06-16",542
"2020-06-17",979
"2020-06-18",634
"2020-06-19",932
"2020-06-20",526
"2020-06-21",258
"2020-06-22",488
"2020-06-23",548
"2020-06-24",504
